cat_id,ROG
203,0.08
204,0.9444
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0.9879
253,0.8
254,0.9879
255,0.8
256,0.9879
257,0.8
258,0.9879
259,0.8
260,0.9879
261,0.8
262,0.9879
263,0.65
264,0.9879
265,0.8
266,0.9879
267,0.65
268,0.9879
269,0.6577
270,0.9879
271,0.8
272,0.9879
273,0.8
274,0.9631
275,0.8
276,0.9879
277,0.8
278,0.9879
279,0.8
280,0.9879
281,0.8
282,0.6986
283,0.4223
284,0.4223
285,0.4223
286,0.6455
287,0.8281
288,0.4149
289,0.4149
290,0.4149
291,0.6986
292,0.074
293,0.4223
294,0.8281
295,1
296,1
297,0.8785
298,0.6455
299,0.3965
300,0.8281
301,0.1269
302,0.9599
303,0.074
304,0.8785
305,0.6986
306,0.8438
307,0.4223
308,0.6601
309,0.8347
310,0.8347
311,0.048
312,0.6986
313,0.6986
314,0.6986
315,0.5698
316,0.5698
317,0.5698
318,0.5698
319,0.5698
320,0.9599
321,0.9599
322,0.904
323,0.985
324,0.904
325,0.985
326,0.904
327,0.985
328,0.9599
329,0.985
330,0.9599
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0.8277
344,0.9456
345,0.9456
346,0.9447
347,0.9447
348,0.9447
349,0.9456
350,0.9456
351,0.9447
352,0.9447
353,0.9456
354,0.9456
355,0.9447
356,0.9447
357,1
358,0.9599
359,1
360,0.991
361,0.904
362,0.985
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
